station,pollutant,date,day_mean,validity
FR01006,O3,2003/08/19,42,1
FR01006,O3,2003/08/20,64,1
FR01006,O3,2003/08/21,74,1
FR01006,O3,2003/08/22,45,1
FR01006,O3,2003/08/23,34,1
FR01006,O3,2003/08/24,65,1
FR01006,O3,2003/08/25,68,1
FR01006,O3,2003/08/26,79,1
FR01006,O3,2003/08/27,59,1
FR01006,O3,2003/08/28,50,1
FR01006,O3,2003/08/29,49,1
FR01006,O3,2003/08/30,41,1
FR01006,O3,2003/08/31,47,1
FR01006,O3,2003/09/01,40,1
FR01006,O3,2003/09/02,34,1
FR01006,O3,2003/09/03,41,1
FR01006,O3,2003/09/04,45,1
FR01006,O3,2003/09/05,47,1
FR01006,O3,2003/09/06,56,1
FR01006,O3,2003/09/07,53,1
FR01006,O3,2003/09/08,45,1
FR01006,O3,2003/09/09,49,1
FR01006,O3,2003/09/10,42,1
FR01006,O3,2003/09/11,46,1
FR01006,O3,2003/09/12,22,1
FR01006,O3,2003/09/13,41,1
FR01006,O3,2003/09/14,51,1
FR01006,O3,2003/09/15,46,1
FR01006,O3,2003/09/16,44,1
FR01006,O3,2003/09/17,46,1
FR01006,O3,2003/09/18,50,1
FR01006,O3,2003/09/19,43,1
FR01006,O3,2003/09/20,54,1
FR01006,O3,2003/09/21,57,1
FR01006,O3,2003/09/22,49,1
FR01006,O3,2003/09/23,48,1
FR01006,O3,2003/09/24,27,1
FR01006,O3,2003/09/25,22,1
FR01006,O3,2003/09/26,40,1
FR01006,O3,2003/09/27,38,1
FR01006,O3,2003/09/28,44,1
FR01006,O3,2003/09/29,46,1
FR01006,O3,2003/09/30,29,1
FR01006,O3,2003/10/01,3,1
FR01006,O3,2003/10/02,11,1
FR01006,O3,2003/10/03,46,1
FR01006,O3,2003/10/04,47,1
FR01006,O3,2003/10/05,42,1
FR01006,O3,2003/10/06,52,1
FR01006,O3,2003/10/07,55,1
FR01006,O3,2003/10/08,40,1
FR01006,O3,2003/10/09,33,1
FR01006,O3,2003/10/10,40,1
FR01006,O3,2003/10/11,25,1
FR01006,O3,2003/10/12,37,1
FR01006,O3,2003/10/13,26,1
FR01006,O3,2003/10/14,31,1
FR01006,O3,2003/10/15,33,1
FR01006,O3,2003/10/16,30,1
FR01006,O3,2003/10/17,26,1
FR01006,O3,2003/10/18,26,1
FR01006,O3,2003/10/19,25,1
FR01006,O3,2003/10/20,16,1
FR01006,O3,2003/10/21,16,1
FR01006,O3,2003/10/22,10,1
FR01006,O3,2003/10/23,30,1
FR01006,O3,2003/10/24,34,1
FR01006,O3,2003/10/25,36,1
FR01006,O3,2003/10/26,41,1
FR01006,O3,2003/10/27,18,1
FR01006,O3,2003/10/28,6,1
FR01006,O3,2003/10/29,9,1
FR01006,O3,2003/10/30,24,1
FR01006,O3,2003/10/31,26,1
FR01006,O3,2003/11/01,49,1
FR01006,O3,2003/11/02,44,1
FR01006,O3,2003/11/03,59,1
FR01006,O3,2003/11/04,15,1
FR01006,O3,2003/11/05,6,1
FR01006,O3,2003/11/06,4,1
FR01006,O3,2003/11/07,23,1
FR01006,O3,2003/11/08,16,1
FR01006,O3,2003/11/09,10,1
FR01006,O3,2003/11/10,5,1
FR01006,O3,2003/11/11,6,1
FR01006,O3,2003/11/12,4,1
FR01006,O3,2003/11/13,14,1
FR01006,O3,2003/11/14,5,1
FR01006,O3,2003/11/15,25,1
FR01006,O3,2003/11/16,12,1
FR01006,O3,2003/11/17,38,1
FR01006,O3,2003/11/18,29,1
FR01006,O3,2003/11/19,25,1
FR01006,O3,2003/11/20,12,1
FR01006,O3,2003/11/21,1,1
FR01006,O3,2003/11/22,11,1
FR01006,O3,2003/11/23,12,1
FR01006,O3,2003/11/24,6,1
FR01006,O3,2003/11/25,15,1
FR01006,O3,2003/11/26,20,1
FR01006,O3,2003/11/27,10,1
FR01006,O3,2003/11/28,16,1
FR01006,O3,2003/11/29,12,1
FR01006,O3,2003/11/30,14,1
FR01006,O3,2003/12/01,1,1
FR01006,O3,2003/12/02,1,1
FR01006,O3,2003/12/03,1,1
FR01006,O3,2003/12/04,1,1
